Anchor1,Anchor2,Anchor3,Anchor4
3.08,1.21,5.12,5.64
3,1.2,5.16,5.71
2.93,1.12,5.13,5.59
2.83,1.09,5.09,5.64
2.82,1.5,5.07,5.6
2.95,1.19,5.06,5.45
3.06,1.66,4.96,5.6
3.07,1.52,5.04,5.55
3.13,1.68,4.97,5.42
3.15,1.87,4.93,5.5
3.01,1.5,4.92,5.39
3.04,1.62,4.86,5.41
3.08,1.53,4.77,5.36
3.08,1.62,4.7,5.31
3.18,1.61,4.78,5.25
3.33,1.6,4.66,5.17
3.42,1.68,4.72,5.15
3.49,1.73,4.69,5.12
3.41,1.67,4.7,5.13
3.49,1.72,4.64,5.12
3.55,1.68,4.65,5.08
3.59,1.7,4.7,5.05
3.6,1.8,4.55,5.05
3.44,1.85,4.66,4.88
3.38,1.83,4.52,4.93
3.47,1.91,4.48,5.03
3.6,2,4.38,5
3.66,1.98,4.33,4.77
3.57,2.07,4.33,4.64
3.63,2.18,4.3,4.71
3.57,2.18,4.22,4.67
3.51,2.19,4.11,4.61
3.55,2.27,4.15,4.55
3.58,2.21,4.15,4.49
3.69,2.25,4.16,4.47
3.75,2.41,4.07,4.36
3.84,2.47,4.07,4.26
3.8,2.57,4.06,4.27
3.79,2.48,4.04,4.17
3.84,2.65,3.94,4.16
3.82,2.68,3.94,4.17
3.94,2.63,3.96,4.23
3.88,2.65,3.9,4.21
4.43,2.7,3.87,4.1
3.86,2.72,3.86,4.12
4.02,2.82,3.85,4.01
4.05,2.82,3.77,4.01
4,2.94,3.78,3.97
4.21,3.03,3.7,3.9
4.32,3.05,3.66,3.86
4.22,3.1,3.69,3.83
4.16,3.07,3.61,3.78
4.22,3.06,3.64,3.8
4.25,3.17,3.64,3.73
4.25,3.27,3.6,3.7
4.19,3.07,3.64,3.68
4.21,3,3.67,3.72
4.15,2.97,3.74,3.74
4.17,3.01,3.86,3.79
4.15,3.12,3.91,3.82
4.14,3.09,3.89,3.86
4.08,3.1,3.85,3.93
4,2.95,4.51,3.87
4.01,2.98,3.85,3.91
3.95,3.1,3.77,3.84
3.95,3.19,3.68,3.76
3.89,3.47,3.72,3.96
3.93,2.95,3.61,4.23
3.94,2.86,3.62,4.22
3.96,3.04,3.59,3.86
3.88,3.11,3.55,3.97
3.88,3.12,3.57,3.93
3.8,3.1,3.51,3.68
3.91,3.1,3.42,4.06
3.86,3.09,3.48,4.11
3.84,3.03,3.39,4.01
3.86,3.13,3.31,4
3.82,3.11,3.26,4.01
3.88,3.08,3.27,3.94
3.89,3.11,3.21,3.94
3.8,3.18,3.26,3.86
3.72,3.13,3.24,3.85
3.81,3.11,3.22,3.9
3.75,3.15,3.31,3.94
3.86,3.09,3.3,3.94
3.74,3.11,3.25,3.91
3.91,3.04,3.3,4.02
3.73,2.99,3.34,4.01
3.63,3.01,3.38,4.08
3.66,2.92,3.36,4.1
3.72,2.96,3.37,4.14
3.6,2.9,3.4,4.18
3.74,2.88,3.37,4.14
3.66,2.94,3.38,4.16
3.71,2.92,3.42,4.09
3.66,2.95,3.42,4.12
3.71,2.94,3.45,4.04
3.78,2.91,3.42,3.92
3.77,3.01,3.39,3.98
3.82,2.98,3.4,3.92
3.81,3.01,3.41,3.86
3.82,3.01,3.36,3.94
3.76,3.03,3.37,3.94
3.81,2.99,3.38,3.92
3.77,3,3.35,3.91
3.7,2.99,3.36,3.96
3.72,3,3.35,3.93
3.61,3.03,3.33,3.93
3.73,3.07,3.31,3.94
3.74,3.05,3.27,3.91
3.71,3.08,3.29,3.96
3.72,3.07,3.26,4.08
3.58,3.11,3.26,4.01
3.59,3.13,3.27,3.96
3.59,3.13,3.2,4.02
3.52,3.17,3.16,3.82
3.52,3.22,3.09,4.07
3.6,3.31,3.11,4.09
3.6,3.32,3.11,4.04
3.51,3.28,2.98,3.97
3.48,3.34,2.94,4.06
3.54,3.34,2.87,4.03
3.5,3.37,2.86,4.08
3.54,3.41,2.88,4.02
3.51,3.41,2.8,4.29
3.52,3.47,2.79,5.12
3.47,3.42,2.75,4.43
3.41,3.55,2.72,4.3
3.44,3.48,2.71,4.27
3.42,3.5,2.65,4.24
3.27,3.46,2.63,4.18
3.37,3.47,2.62,4.24
3.28,3.57,2.57,4.72
3.24,3.64,2.46,4.2
3.19,3.66,2.54,4.31
3.3,3.69,2.53,4.36
3.19,3.68,2.52,4.39
3.15,3.7,2.48,4.37
3.11,3.79,2.48,4.41
3.14,3.79,2.51,4.4
3.15,3.75,2.4,4.43
3.11,3.79,2.51,4.57
3.11,3.76,2.4,4.48
3.11,3.73,2.42,4.48
3.09,3.8,2.49,4.48
3.04,3.8,2.47,4.51
3.05,3.93,2.43,4.84
2.96,3.91,2.46,4.82
2.94,3.95,2.45,4.61
3.03,3.96,2.48,4.52
3,3.92,2.48,4.57
2.99,3.89,2.42,4.82
2.99,3.86,2.49,4.74
2.97,3.88,2.46,4.68
2.97,3.9,2.56,4.66
2.93,3.94,2.42,4.65
2.98,3.89,2.49,4.58
2.94,3.95,2.45,4.7
2.97,3.91,2.48,4.95
2.91,3.86,2.39,5.06
2.9,3.9,2.45,5.01
2.87,3.79,2.46,5.12
2.91,3.85,2.5,5.1
2.88,3.72,2.58,5.08
2.81,3.76,2.58,4.91
2.74,3.77,2.74,5.06
2.78,3.68,2.79,5.04
2.7,3.62,2.81,5
2.73,3.51,2.87,5.01
2.73,3.47,2.9,4.76
2.68,3.47,2.98,4.86
2.67,3.41,3.07,4.97
2.57,3.39,3.1,4.9
2.52,3.3,3.13,5.6
2.37,3.25,3.2,4.87
2.37,3.3,3.26,5.55
2.27,3.15,3.26,5.57
2.28,3.06,3.32,5.35
2.19,3.01,3.33,5.35
2.23,3.05,3.31,5.5
2.15,3.01,3.38,5.47
2.14,2.97,3.46,5.52
2.12,2.98,3.47,5.58
2.02,2.92,3.56,5.52
2.03,2.85,3.62,5.95
2.03,2.8,3.62,5.94
1.99,2.75,3.7,5.95
1.87,2.76,3.74,6.03
1.84,2.72,3.84,6.16
1.81,2.71,3.82,6.22
1.85,2.73,3.86,5.86
1.71,2.63,3.86,5.64
1.64,2.64,3.89,5.83
1.69,2.63,3.93,5.95
1.62,2.59,4,5.99
1.63,2.56,4.04,6.05
1.63,2.49,4.13,6.03
1.62,2.48,4.13,6.08
1.62,2.41,4.23,6.12
1.59,2.43,4.19,6.2
1.57,2.35,4.26,6.24
1.54,2.34,4.24,6.45
1.57,2.37,4.35,6.42
1.59,2.38,4.38,6.54
1.53,2.31,4.29,6.59
1.44,2.32,4.37,6.46
1.47,2.35,4.34,6.07
1.47,2.35,4.44,6.14
1.38,2.32,4.42,6.08
1.51,2.32,4.4,6.22
1.48,2.33,4.47,6.24
1.51,2.21,4.47,6.27
1.46,2.25,4.45,6.24
1.51,2.27,4.47,6.21
1.47,2.3,4.44,6.27
1.54,2.28,4.45,6.15
1.52,2.3,4.41,6.2
1.54,2.21,4.37,6.18
1.55,2.29,4.49,6.16
1.62,2.33,4.37,6.11
1.61,2.28,4.31,6.19
1.67,2.26,4.39,6.21
1.71,2.26,4.34,6.11
1.75,2.25,4.33,6.13
1.82,2.18,4.3,5.98
1.84,2.18,4.37,6.04
1.81,2.18,4.31,6.04
1.81,2.11,4.42,5.98
1.82,2.17,4.41,6
1.87,2.12,4.45,6.02
1.87,2.05,4.4,6.07
1.93,1.99,4.46,5.89
1.95,1.92,4.48,5.97
1.95,1.89,4.42,5.95
2,1.85,4.49,6.11
2.02,1.85,4.5,6.42
2.1,1.82,4.49,6.32
2.24,1.87,4.53,6.32
2.17,1.78,4.63,6.24
2.04,1.73,4.61,6.22
2.09,1.68,4.66,6.06
2.07,1.72,4.72,5.89
2.31,1.64,4.72,5.87
2.44,1.61,4.74,5.77
2.42,1.57,4.76,5.82
2.43,1.62,4.8,5.87
2.44,1.55,4.75,5.87
2.5,1.53,4.74,5.79
2.6,1.47,4.81,5.66
2.67,1.49,4.79,5.66
2.45,1.48,4.81,5.73
2.65,1.38,4.86,5.75
2.64,1.28,4.87,5.75
2.7,1.33,5.69,5.78
2.71,1.29,4.91,5.86
2.69,1.33,5,5.73
2.64,1.37,4.98,5.79
2.68,1.33,5,5.74
2.65,1.27,5.09,5.69
2.65,1.25,5.01,5.74
2.73,1.26,5.04,5.72
2.78,1.26,5.07,5.7
2.78,1.28,5.12,5.68
2.79,1.45,5.11,5.72
2.76,1.34,5.07,5.53
2.85,1.32,5.11,5.62
2.96,1.61,5.08,5.58
3.41,1.65,5.13,5.59
3.34,1.54,5.09,5.57
3.25,1.54,5.18,5.61
3.32,1.27,5.08,5.66
3.28,1.63,5.2,5.65
3.21,1.59,5.14,5.62
3.2,1.62,5.19,5.7
3.24,1.61,5.2,5.72
3.29,1.55,5.17,5.71
3.29,1.58,5.28,5.68
3.26,1.63,5.15,5.68
3.39,1.11,5.19,5.63
3.36,1.15,5.11,5.62
3.42,1.21,5.07,5.64
3.3,1.2,4.97,5.93
3.44,1.36,4.99,5.63
3.45,1.12,5.07,5.59
3.5,1.2,4.97,5.62
2.98,1.26,5.02,5.55
2.96,1.21,5.01,5.56
3.19,1.25,4.97,5.49
3.19,1.26,4.93,5.55
3.08,1.3,4.87,5.41
3.21,1.33,4.93,5.44
3.2,1.31,4.91,5.39
2.92,1.33,4.86,5.57
2.97,1.38,4.8,5.61
3.28,1.45,4.85,5.41
3.21,1.49,4.76,5.34
3.43,1.56,4.65,5.3
3.55,1.66,4.64,5.22
3.5,1.72,4.51,5.12
3.29,1.81,4.53,5.13
3.24,1.86,4.37,5.01
3.26,1.95,4.32,5.01
3.14,1.99,4.34,4.93
3.09,2.08,4.22,4.82
3.18,2.14,4.16,4.8
3.15,2.2,4.18,4.94
3.07,2.29,4.07,4.76
3.15,2.34,4.06,4.84
3.2,2.34,3.97,4.69
3.27,2.34,3.96,4.69
3.3,2.45,3.91,4.59
3.42,2.48,3.82,4.45
3.42,2.56,3.83,4.52
3.44,2.61,3.73,4.41
3.45,2.62,3.66,4.42
3.43,2.74,3.63,4.27
3.43,2.88,3.58,4.28
3.49,2.83,3.63,4.11
3.52,2.84,3.55,4.12
3.56,2.9,3.46,4.21
3.6,2.98,3.48,4.09
3.65,3.06,3.43,4.09
3.7,3.1,3.38,4
3.73,3.13,3.36,3.94
3.69,3.19,3.31,3.92
3.7,3.24,3.23,3.94
3.72,3.2,3.26,3.86
3.81,3.23,3.2,3.83
3.84,3.33,3.2,3.78
3.93,3.4,3.23,3.79
3.94,3.45,3.15,3.64
3.95,3.47,3.11,3.56
4.03,3.43,3.13,3.63
4.02,3.47,3.16,3.57
4.12,3.48,3.11,3.53
4.08,3.44,3.12,3.53
3.98,3.46,3.11,3.49
4.06,3.46,3.08,3.43
4.02,3.54,3.09,3.41
4.08,3.51,3.08,3.41
4.1,3.49,3.07,3.37
4.08,3.53,3.06,3.37
4.17,3.53,3.04,3.41
4.16,3.49,3.04,3.4
4.15,3.55,3.01,3.41
4.12,3.56,3.04,3.41
4.08,3.56,2.96,3.42
4.09,3.59,2.99,3.43
4.2,3.57,3.01,3.41
4.23,3.63,2.98,3.43
4.2,3.73,2.95,3.39
4.21,3.64,2.97,3.34
4.25,3.64,3.04,3.36
4.2,3.66,3.02,3.4
4.2,3.61,2.99,3.48
4.27,3.61,3.04,3.46
4.23,3.58,3.04,3.41
4.28,3.64,3.04,3.37
4.28,3.63,3.05,3.44
4.24,3.64,3,3.43
4.23,3.62,3.02,3.49
4.25,3.67,3.05,3.47
4.2,3.63,3.04,3.5
4.22,3.66,3.01,3.57
4.13,3.68,2.98,3.67
4.1,3.56,2.98,3.77
4.12,3.6,3.01,3.75
4.1,3.59,3.02,3.75
4.01,3.59,2.94,3.79
3.93,3.54,2.88,3.83
3.95,3.61,2.91,3.75
3.95,3.64,2.86,3.74
3.93,3.55,2.84,3.69
3.89,3.55,2.88,3.68
3.92,3.5,2.78,3.69
3.85,3.63,2.76,3.78
3.79,3.64,2.74,3.82
3.7,3.67,2.73,4.28
3.74,3.72,2.73,4.02
3.79,3.62,2.66,3.83
3.77,3.67,2.64,3.8
3.79,3.69,2.67,3.81
3.73,3.75,2.64,3.83
3.75,3.71,2.6,3.92
3.65,3.71,2.56,3.89
3.65,3.74,2.57,3.93
3.57,3.72,2.51,3.85
3.51,3.69,2.42,3.85
3.5,3.75,2.47,3.96
3.62,3.81,2.49,4
3.52,3.8,2.39,4.06
3.52,3.85,2.42,4.2
3.52,3.92,2.32,4.24
3.46,4.03,2.34,4.34
3.4,3.98,2.4,4.37
3.37,3.94,2.39,4.4
3.37,3.93,2.31,4.4
3.32,3.98,2.28,4.19
3.42,3.96,2.28,4.21
3.32,4.03,2.25,4.24
3.34,3.94,2.26,4.29
3.34,4.06,2.17,4.18
3.31,4.08,2.24,4.78
3.31,4.03,2.27,4.55
3.23,4.07,2.27,4.5
3.21,4.01,2.28,4.41
3.22,4.02,2.3,4.39
3.19,4.03,2.31,4.41
3.15,3.98,2.33,4.34
3.18,4.02,2.37,4.98
3.25,3.99,2.25,4.89
3.15,3.98,2.3,4.67
3.13,3.94,2.32,4.54
3.1,3.86,2.31,4.56
3.11,3.94,2.3,4.53
3.11,3.85,2.26,4.38
3.08,3.84,2.29,4.27
3.14,3.92,2.36,4.32
3.14,3.83,2.37,4.32
3.13,3.85,2.37,4.44
3.13,3.85,2.4,4.62
3.14,3.84,2.42,4.74
3.1,3.82,2.44,4.83
3.08,3.77,2.5,4.82
3.01,3.86,2.51,4.8
2.87,3.73,2.58,4.83
2.91,3.71,2.64,4.84
2.89,3.65,2.67,4.86
2.82,3.73,2.65,4.92
2.82,3.69,2.77,4.9
2.79,3.57,2.8,4.93
2.81,3.52,2.89,5.1
2.79,3.51,2.93,4.98
2.68,3.44,2.97,4.84
2.73,3.44,3.05,5.42
2.63,3.39,3.06,5.35
2.52,3.27,3.1,5.34
2.57,3.21,3.2,5.38
2.48,3.17,3.23,5.49
2.52,3.13,3.23,5.37
2.46,3.16,3.29,5.28
2.35,3.13,3.37,5.25
2.28,3.08,3.42,5.25
2.25,3.03,3.4,5.35
2.19,3.02,3.37,5.34
2.14,2.98,3.43,5.56
2.11,2.95,3.43,5.52
2.01,3,3.51,5.6
2.05,2.95,3.48,5.77
2.06,2.92,3.55,5.93
1.98,2.89,3.62,5.88
1.96,2.86,3.63,5.9
1.94,2.83,3.65,5.96
1.93,2.84,3.69,5.95
1.79,2.82,3.72,6.08
1.82,2.81,3.79,6.17
1.77,2.74,3.85,6.22
1.7,2.67,3.81,6.27
1.72,2.78,3.89,6.29
1.62,2.73,3.95,6.25
1.62,2.68,3.95,6.22
1.72,2.65,3.96,6.16
1.63,2.6,4.02,6.06
1.64,2.59,3.98,6.13
1.59,2.6,4.11,6.12
1.61,2.55,4.05,6.08
1.55,2.52,4.16,6.1
1.54,2.45,4.22,6.06
1.48,2.5,4.24,6.08
1.42,2.49,4.26,6.11
1.48,2.47,4.29,6.12
1.39,2.47,4.34,6.09
1.38,2.42,4.36,6.22
1.37,2.46,4.39,6.18
1.42,2.47,4.39,6.21
1.48,2.36,4.38,6.19
1.45,2.37,4.38,6.28
1.4,2.36,4.41,6.25
1.39,2.36,4.42,6.25
1.38,2.32,4.42,6.2
1.51,2.29,4.4,6.2
1.5,2.27,4.43,6.22
1.55,2.33,4.42,6.18
1.58,2.3,4.43,6.14
1.63,2.21,4.37,6.16
1.53,2.24,4.43,6.17
1.62,2.19,4.32,5.93
1.63,2.15,4.44,6.08
1.67,2.12,4.41,6.39
1.78,2.18,4.45,6.22
1.72,2.18,4.45,6.19
1.76,2.08,4.46,6.19
1.81,2.12,4.5,6.09
1.91,2.06,4.59,5.99
1.84,2,4.64,6.02
1.99,1.97,4.6,6.01
2.01,1.9,4.56,6.08
2.09,1.83,4.57,6.22
2.36,1.76,4.55,5.99
2,1.76,4.7,6.26
2.04,1.72,4.58,6.12
2.08,1.7,4.64,5.99
2.3,1.66,4.62,6.02
2.36,1.63,4.72,5.85
2.26,1.62,4.73,5.78
2.33,1.63,4.66,5.7
2.4,1.6,4.73,5.78
2.48,1.56,4.77,5.85
2.58,1.56,4.73,5.83
2.63,1.53,4.74,5.57
2.68,1.5,4.78,5.53
2.74,1.51,4.78,5.69
2.82,1.49,4.72,5.6
3.04,1.55,4.78,5.62
2.85,1.5,4.82,5.62
2.53,1.47,4.88,5.64
3.07,1.47,4.92,5.65
2.81,1.43,4.95,5.68
2.82,1.34,4.9,5.67
3.28,1.36,4.96,5.65
2.6,1.32,4.99,5.74
3.35,1.25,5,5.77
3.13,1.27,5.07,5.71
2.96,1.21,5.1,5.68
3.01,1.14,5.15,5.73
3.04,1.16,5.05,5.72
3.07,1.12,5.11,5.69
3.02,1.12,6.65,5.69
3.02,1.06,5.23,5.75
3.04,1.04,5.15,5.73
3.09,1.06,5.16,5.71
3.1,1.27,5.13,5.72
3.11,1.18,5.17,5.76
3.15,1.19,5.07,5.59
