X,Y,Z
-2.85,3.97,1.35
-2.86,4.03,1.35
-2.85,4.08,1.36
-2.83,4.13,1.42
-2.76,4.15,1.33
-2.71,4.16,1.39
-2.68,4.21,1.34
-2.67,4.23,1.29
-2.65,4.28,1.3
-2.66,4.31,1.27
-2.66,4.38,1.25
-2.66,4.46,1.2
-2.67,4.55,1.24
-2.67,4.63,1.31
-2.65,4.66,1.28
-2.68,4.74,1.24
-2.66,4.78,1.21
-2.64,4.81,1.19
-2.63,4.87,1.19
-2.61,4.92,1.19
-2.58,4.95,1.21
-2.56,5,1.21
-2.56,5.06,1.23
-2.56,5.12,1.23
-2.56,5.17,1.25
-2.58,5.23,1.33
-2.54,5.28,1.37
-2.55,5.32,1.45
-2.6,5.39,1.46
-2.6,5.46,1.43
-2.63,5.53,1.45
-2.62,5.58,1.4
-2.62,5.64,1.42
-2.59,5.7,1.41
-2.56,5.7,1.47
-2.53,5.73,1.4
-2.51,5.75,1.36
-2.49,5.78,1.4
-2.47,5.8,1.39
-2.46,5.82,1.35
-2.47,5.86,1.34
-2.46,5.89,1.3
-2.42,5.94,1.3
-2.37,6,1.31
-2.39,6,1.29
-2.41,5.99,1.42
-2.41,6.02,1.44
-2.42,6.02,1.4
-2.4,6.03,1.4
-2.41,6.04,1.38
-2.4,6.01,1.33
-2.4,5.99,1.46
-2.41,6.01,1.39
-2.36,6.02,1.47
-2.37,5.98,1.48
-2.41,5.99,1.42
-2.43,6,1.44
-2.42,5.98,1.39
-2.42,5.97,1.42
-2.37,5.91,1.47
-2.32,5.87,1.45
-2.33,5.87,1.46
-2.29,5.85,1.55
-2.26,5.84,1.53
-2.23,5.84,1.52
-2.23,5.87,1.54
-2.16,5.87,1.53
-2.12,5.88,1.45
-2.09,5.86,1.41
-2.04,5.86,1.36
-2.01,5.87,1.32
-1.97,5.85,1.28
-1.92,5.83,1.27
-1.89,5.84,1.31
-1.87,5.87,1.29
-1.86,5.9,1.28
-1.78,5.96,1.25
-1.75,5.93,1.31
-1.66,5.92,1.35
-1.61,5.92,1.33
-1.58,5.93,1.28
-1.57,5.91,1.32
-1.54,5.88,1.34
-1.44,5.89,1.3
-1.4,5.87,1.28
-1.36,5.9,1.34
-1.31,5.91,1.33
-1.28,5.91,1.33
-1.27,5.89,1.35
-1.26,5.89,1.39
-1.26,5.87,1.42
-1.21,5.92,1.38
-1.22,5.89,1.4
-1.22,5.87,1.36
-1.15,5.94,1.33
-1.16,5.9,1.41
-1.16,5.87,1.44
-1.16,5.84,1.45
-1.18,5.82,1.37
-1.17,5.78,1.32
-1.16,5.76,1.34
-1.17,5.7,1.33
-1.1,5.64,1.26
-1.05,5.6,1.27
-1.03,5.58,1.3
-0.97,5.6,1.3
-0.98,5.58,1.26
-0.99,5.56,1.28
-1,5.56,1.25
-1.01,5.56,1.22
-0.99,5.57,1.21
-0.98,5.57,1.2
-0.99,5.56,1.18
-0.91,5.59,1.24
-0.86,5.61,1.31
-0.81,5.59,1.35
-0.79,5.58,1.33
-0.77,5.54,1.32
-0.71,5.54,1.31
-0.67,5.51,1.33
-0.75,5.54,1.34
-0.81,5.57,1.39
-0.82,5.58,1.45
-0.83,5.59,1.39
-0.84,5.6,1.37
-0.84,5.59,1.38
-0.83,5.57,1.45
-0.89,5.59,1.42
-0.95,5.61,1.38
-0.93,5.56,1.39
-0.93,5.51,1.44
-0.89,5.42,1.38
-0.85,5.32,1.43
-0.83,5.22,1.37
-0.88,5.19,1.35
-0.93,5.14,1.43
-0.98,5.1,1.43
-0.99,5.09,1.33
-1.07,5.02,1.32
-1.08,4.98,1.38
-1.14,4.95,1.31
-1.22,4.89,1.27
-1.24,4.87,1.21
-1.28,4.8,1.36
-1.29,4.75,1.38
-1.29,4.7,1.31
-1.29,4.62,1.36
-1.29,4.56,1.35
-1.3,4.49,1.38
-1.32,4.43,1.44
-1.31,4.39,1.41
-1.33,4.34,1.34
-1.36,4.26,1.31
-1.34,4.22,1.35
-1.37,4.18,1.35
-1.37,4.13,1.28
-1.4,4.07,1.28
-1.42,4,1.31
-1.42,3.96,1.24
-1.41,3.92,1.21
-1.46,3.87,1.27
-1.46,3.84,1.24
-1.46,3.79,1.28
-1.46,3.74,1.21
-1.46,3.71,1.23
-1.43,3.66,1.19
-1.41,3.61,1.22
-1.41,3.57,1.28
-1.43,3.52,1.36
-1.41,3.47,1.37
-1.4,3.44,1.38
-1.42,3.41,1.34
-1.4,3.4,1.34
-1.36,3.39,1.25
-1.38,3.36,1.23
-1.39,3.33,1.23
-1.35,3.33,1.3
-1.35,3.3,1.37
-1.35,3.29,1.3
-1.35,3.28,1.22
-1.36,3.28,1.2
-1.38,3.28,1.19
-1.4,3.28,1.18
-1.39,3.26,1.27
-1.4,3.24,1.29
-1.41,3.22,1.35
-1.41,3.21,1.27
-1.39,3.2,1.35
-1.4,3.21,1.44
-1.4,3.21,1.41
-1.39,3.2,1.38
-1.38,3.21,1.39
-1.37,3.2,1.38
-1.37,3.19,1.35
-1.37,3.19,1.33
-1.38,3.19,1.31
-1.39,3.19,1.25
-1.4,3.2,1.23
-1.41,3.2,1.2
-1.45,3.23,1.27
-1.5,3.28,1.23
-1.51,3.28,1.2
-1.52,3.28,1.19
-1.55,3.32,1.25
-1.6,3.35,1.25
-1.62,3.36,1.23
-1.64,3.35,1.21
-1.65,3.36,1.24
-1.65,3.37,1.32
-1.64,3.35,1.34
-1.68,3.35,1.35
-1.73,3.36,1.36
-1.86,3.44,1.29
-1.9,3.44,1.24
-1.89,3.41,1.22
-1.9,3.39,1.31
-1.9,3.38,1.34
-1.92,3.37,1.37
-1.96,3.39,1.38
-1.98,3.39,1.44
-2.01,3.4,1.43
-2.04,3.39,1.38
-2.07,3.39,1.39
-2.11,3.4,1.32
-2.13,3.4,1.34
-2.18,3.4,1.29
-2.24,3.43,1.32
-2.27,3.42,1.38
-2.35,3.44,1.32
-2.41,3.45,1.27
-2.45,3.49,1.26
-2.47,3.48,1.33
-2.5,3.47,1.27
-2.51,3.46,1.34
-2.54,3.45,1.35
-2.56,3.45,1.28
-2.59,3.44,1.25
-2.73,3.53,1.24
-2.77,3.56,1.3
-2.78,3.56,1.3
-2.77,3.56,1.35
-2.75,3.56,1.4
-2.76,3.55,1.49
-2.76,3.55,1.43
-2.77,3.57,1.37
-2.9,3.67,1.31
-2.92,3.69,1.27
-2.88,3.69,1.36
-2.88,3.71,1.34
-2.85,3.69,1.36
-2.82,3.68,1.37
-2.76,3.67,1.45
-2.75,3.65,1.41
-2.72,3.64,1.36
-2.7,3.65,1.43
-2.74,3.69,1.36
-2.79,3.75,1.32
-2.75,3.74,1.37
-2.72,3.75,1.4
-2.72,3.76,1.37
-2.76,3.83,1.31
-2.74,3.86,1.31
-2.77,3.92,1.26
-2.77,3.94,1.28
-2.77,3.98,1.25
-2.74,4.01,1.27
-2.7,4.05,1.25
-2.68,4.1,1.3
-2.64,4.12,1.4
-2.62,4.16,1.49
-2.61,4.21,1.42
-2.6,4.27,1.44
-2.61,4.36,1.35
-2.59,4.4,1.37
-2.55,4.43,1.4
-2.57,4.5,1.44
-2.56,4.55,1.44
-2.55,4.61,1.36
-2.55,4.66,1.38
-2.57,4.71,1.35
-2.57,4.75,1.3
-2.57,4.78,1.29
-2.61,4.85,1.31
-2.61,4.88,1.29
-2.6,4.91,1.25
-2.6,4.95,1.23
-2.6,4.99,1.22
-2.59,5.02,1.22
-2.59,5.06,1.21
-2.6,5.1,1.24
-2.61,5.15,1.23
-2.6,5.2,1.24
-2.6,5.24,1.38
