Anchor1,Anchor2,Anchor3,Anchor4
4.91,2.57,5.79,1.36
4.85,2.74,5.72,1.39
4.89,2.63,5.8,1.3
4.99,2.76,5.68,1.29
5.04,2.66,5.71,1.28
5.01,2.69,5.79,1.29
5.09,2.71,5.7,1.31
5.01,2.74,5.72,1.24
5.12,3.08,5.64,1.21
5.16,3,5.71,1.2
5.13,2.93,5.59,1.12
5.09,2.83,5.64,1.09
5.07,2.82,5.6,1.5
5.06,2.95,5.45,1.19
4.96,3.06,5.6,1.66
5.04,3.07,5.55,1.52
4.97,3.13,5.42,1.68
4.93,3.15,5.5,1.87
4.92,3.01,5.39,1.5
4.86,3.04,5.41,1.62
4.77,3.08,5.36,1.53
4.7,3.08,5.31,1.62
4.78,3.18,5.25,1.61
4.66,3.33,5.17,1.6
4.72,3.42,5.15,1.68
4.69,3.49,5.12,1.73
4.7,3.41,5.13,1.67
4.64,3.49,5.12,1.72
4.65,3.55,5.08,1.68
4.7,3.59,5.05,1.7
4.55,3.6,5.05,1.8
4.66,3.44,4.88,1.85
4.52,3.38,4.93,1.83
4.48,3.47,5.03,1.91
4.38,3.6,5,2
4.33,3.66,4.77,1.98
4.33,3.57,4.64,2.07
4.3,3.63,4.71,2.18
4.22,3.57,4.67,2.18
4.11,3.51,4.61,2.19
4.15,3.55,4.55,2.27
4.15,3.58,4.49,2.21
4.16,3.69,4.47,2.25
4.07,3.75,4.36,2.41
4.07,3.84,4.26,2.47
4.06,3.8,4.27,2.57
4.04,3.79,4.17,2.48
3.94,3.84,4.16,2.65
3.94,3.82,4.17,2.68
3.96,3.94,4.23,2.63
3.9,3.88,4.21,2.65
3.87,4.43,4.1,2.7
3.86,3.86,4.12,2.72
3.85,4.02,4.01,2.82
3.77,4.05,4.01,2.82
3.78,4,3.97,2.94
3.7,4.21,3.9,3.03
3.66,4.32,3.86,3.05
3.69,4.22,3.83,3.1
3.61,4.16,3.78,3.07
3.64,4.22,3.8,3.06
3.64,4.25,3.73,3.17
3.6,4.25,3.7,3.27
3.64,4.19,3.68,3.07
3.67,4.21,3.72,3
3.74,4.15,3.74,2.97
3.86,4.17,3.79,3.01
3.91,4.15,3.82,3.12
3.89,4.14,3.86,3.09
3.85,4.08,3.93,3.1
4.51,4,3.87,2.95
3.85,4.01,3.91,2.98
3.77,3.95,3.84,3.1
3.68,3.95,3.76,3.19
3.72,3.89,3.96,3.47
3.61,3.93,4.23,2.95
3.62,3.94,4.22,2.86
3.59,3.96,3.86,3.04
3.55,3.88,3.97,3.11
3.57,3.88,3.93,3.12
3.51,3.8,3.68,3.1
3.42,3.91,4.06,3.1
3.48,3.86,4.11,3.09
3.39,3.84,4.01,3.03
3.31,3.86,4,3.13
3.26,3.82,4.01,3.11
3.27,3.88,3.94,3.08
3.21,3.89,3.94,3.11
3.26,3.8,3.86,3.18
3.24,3.72,3.85,3.13
3.22,3.81,3.9,3.11
3.31,3.75,3.94,3.15
3.3,3.86,3.94,3.09
3.25,3.74,3.91,3.11
3.3,3.91,4.02,3.04
3.34,3.73,4.01,2.99
3.38,3.63,4.08,3.01
3.36,3.66,4.1,2.92
3.37,3.72,4.14,2.96
3.4,3.6,4.18,2.9
3.37,3.74,4.14,2.88
3.38,3.66,4.16,2.94
3.42,3.71,4.09,2.92
3.42,3.66,4.12,2.95
3.45,3.71,4.04,2.94
3.42,3.78,3.92,2.91
3.39,3.77,3.98,3.01
3.4,3.82,3.92,2.98
3.41,3.81,3.86,3.01
3.36,3.82,3.94,3.01
3.37,3.76,3.94,3.03
3.38,3.81,3.92,2.99
3.35,3.77,3.91,3
3.36,3.7,3.96,2.99
3.35,3.72,3.93,3
3.33,3.61,3.93,3.03
3.31,3.73,3.94,3.07
3.27,3.74,3.91,3.05
3.29,3.71,3.96,3.08
3.26,3.72,4.08,3.07
3.26,3.58,4.01,3.11
3.27,3.59,3.96,3.13
3.2,3.59,4.02,3.13
3.16,3.52,3.82,3.17
3.09,3.52,4.07,3.22
3.11,3.6,4.09,3.31
3.11,3.6,4.04,3.32
2.98,3.51,3.97,3.28
2.94,3.48,4.06,3.34
2.87,3.54,4.03,3.34
2.86,3.5,4.08,3.37
2.88,3.54,4.02,3.41
2.8,3.51,4.29,3.41
2.79,3.52,5.12,3.47
2.75,3.47,4.43,3.42
2.72,3.41,4.3,3.55
2.71,3.44,4.27,3.48
2.65,3.42,4.24,3.5
2.63,3.27,4.18,3.46
2.62,3.37,4.24,3.47
2.57,3.28,4.72,3.57
2.46,3.24,4.2,3.64
2.54,3.19,4.31,3.66
2.53,3.3,4.36,3.69
2.52,3.19,4.39,3.68
2.48,3.15,4.37,3.7
2.48,3.11,4.41,3.79
2.51,3.14,4.4,3.79
2.4,3.15,4.43,3.75
