Input1,Input2,Input3,Input4
4.6,4.02,3.7,2.97
4.68,4.06,3.77,2.95
3.01,3.73,4.04,4.22
3.02,3.86,4.05,4.4
2.91,3.95,4.06,4.46
2.9,3.77,4.01,4.6
1.76,4.78,3.86,5.57
1.87,5.17,2.66,5.48
1.88,5.1,2.55,5.42
1.99,5.19,2.43,5.46
2.09,5.13,2.36,5.43
2.09,5.05,2.4,5.37
2.31,5.17,2.26,5.19
2.46,5.34,2.03,5.28
2.51,5.35,2.06,5.21
2.51,5.31,1.99,5.2
2.53,5.35,1.98,5.15
4.28,4.61,2.79,3.64
4.23,4.51,2.84,3.51
5.29,2.68,5.14,1.99
5.32,2.6,5.12,2.14
5.55,2.63,5.13,2.09
3.98,4.97,2.45,3.83
4.03,4.91,2.47,3.91
1.72,4.86,3.79,5.51
1.71,4.87,3.79,5.57
1.68,5.38,3.58,5.64
1.64,4.87,3.77,5.69
1.66,5.12,3.44,5.83
5.4,3.45,4.68,2.01
5.31,3.47,4.66,2
5.48,3.4,4.68,2
5.45,3.3,5.91,1.98
4.94,2.33,5.01,3.46
2.22,4.47,4.26,5.44
2.18,4.5,4.09,5.54
2.01,4.6,4,5.42
2.01,4.56,3.57,5.45
1.99,4.63,4.11,5.44
1.95,4.7,3.87,5.44
1.9,4.79,3.79,5.49
1.8,4.83,3.77,5.53
1.81,4.95,3.75,5.56
1.8,4.89,3.64,5.49
1.74,4.95,3.72,5.64
1.72,5.06,3.61,5.66
1.66,5.39,3.6,5.71
1.68,4.97,3.61,5.75
1.73,4.93,3.65,5.72
1.98,5.14,2.49,5.48
5.65,2.65,5.19,2.21
2.73,4.34,3.6,5.25
5.18,4.19,4.32,2.27
5.23,4.25,4.45,2.01
5.31,4.37,4.47,2.04
5.34,3.95,4.55,2.08
3.13,3.63,4.05,4.38
3.98,4.77,2.78,3.55
4.14,4.72,2.68,3.81
4.22,4.85,2.74,3.56
3.85,2.66,4.86,4.48
2.53,5.15,3.41,5.54
3.23,3.57,4.03,4.58
2.59,4.52,3.55,5.47
2.31,4.82,3.56,5.62
1.62,5.05,3.4,5.81
1.64,5.08,3.44,5.73
1.63,5.11,3.41,5.82
1.69,5.08,3.49,5.66
5.39,4.3,4.6,2.09
5.46,2.77,5.1,2.19
2.08,4.66,3.36,5.26
2.24,4.82,3.18,5.5
1.96,4.94,3.18,5.58
3.31,5.42,1.93,5
5.13,2.15,5.28,2.65
5.08,2.06,5.29,2.74
5.2,2.01,5.29,2.82
3.61,3.79,4.22,4.54
2.43,4.55,3.53,5.5
2.39,4.64,3.38,5.41
2.22,4.6,3.57,5.44
1.63,5.08,3.27,5.66
1.66,5.14,3.47,5.65
3.3,5.28,1.79,5.04
3.26,5.34,1.75,5.22
5.3,4.33,4.24,2.28
2.32,5,3.11,5.54
4.73,4.21,3.46,2.68
2.88,3.35,4.2,4.66
5.63,3.48,4.62,2.05
3.76,2.84,4.67,4.41
3.64,2.92,4.7,4.49
3.59,2.99,4.72,4.5
3.54,3.05,4.77,4.85
3.49,3.13,4.98,4.11
2.83,4.29,3.67,5.28
2.76,4.38,3.68,5.37
2.7,5,3.27,5.56
4.76,3.88,4.1,2.79
5.13,3.41,4.53,2.18
5.11,3.37,4.64,2.16
5.14,3.58,4.59,2.25
5.26,3.35,4.61,2.13
5.34,3.59,4.64,2.03
4.83,2.03,5.33,3.44
5.19,2.09,5.25,3.5
4.89,2.16,5.35,3.56
2.42,4.13,4.15,5.09
2.28,4.14,4,5.12
2.38,4.93,2.5,5.2
2.37,5.03,2.54,5.15
3.14,3.59,4.02,4.36
4.98,1.9,5.42,3.04
2.58,5.35,2.11,5.26
2.21,4.19,3.83,5.36
2.21,4.2,3.73,5.33
2.19,4.17,3.76,5.4
1.79,5.11,2.64,5.52
1.93,5.1,2.58,5.43
1.98,5.12,2.52,5.4
5.55,5.24,3.87,2.71
4.36,4.08,3.56,3.04
4.39,4,3.61,3.02
4.38,4,3.65,3.02
4.37,4.01,3.65,2.96
4.43,3.98,3.65,2.95
4.5,3.97,3.7,2.92
4.47,4.08,3.71,2.94
4.54,3.95,3.79,2.85
4.6,3.97,3.78,2.87
4.6,3.98,3.86,2.75
4.67,3.87,3.95,2.74
4.74,3.82,3.95,2.65
5.3,4.08,4.4,2.07
4.3,2.09,4.99,3.44
4.38,2.17,5.14,3.58
4.32,2.22,5.17,3.57
3.16,5.83,1.72,5.04
4.09,4.31,3.3,3.47
4.21,4.21,3.34,3.28
4.25,4.23,3.38,3.22
4.27,4.24,3.45,3.26
4.4,4.25,3.64,3.24
5.4,3.04,4.92,1.85
1.53,5.55,3.37,5.87
5.13,5.59,2.38,4.81
3.68,5.31,3.53,4.55
3.51,5.28,2.12,4.51
3.51,5.24,2.87,4.53
3.51,5.31,2.44,4.42
3.57,5.2,2.31,4.4
3.55,5.2,2.52,4.31
3.68,5.19,2.36,4.43
3.68,5.2,2.34,4.46
3.78,5.01,2.92,4.38
4.06,4.64,3.53,3.61
4.3,4.44,3.66,3.26
4.37,4.33,3.79,3.35
6.03,3.54,7.8,1.7
5.93,3.49,8.56,1.77
5.75,3.44,6.74,1.78
5.82,3.42,7.6,1.75
5.81,3.36,6.75,1.75
5.84,3.29,6.96,1.81
5.77,3.22,6.21,1.84
5.72,3.21,6.29,1.99
5.63,3.2,6.39,2.27
5.58,3.15,6.46,2.15
5.35,2.99,4.79,3.38
5.33,2.97,4.85,3.39
5.27,2.91,4.92,3.05
5.28,2.89,5.05,2.92
5.33,2.74,5.1,3.45
5.22,2.73,5.09,3.53
5.27,2.68,5.08,3.67
5.24,2.68,5.13,3.4
5.2,2.7,4.97,4.34
5.06,2.66,4.82,3.97
5.14,2.61,5.04,3.41
5,2.47,5.06,3.31
4.97,2.26,5.17,4.2
4.59,1.88,6.83,4.48
4.68,1.88,5.92,3.85
4.73,1.82,5.82,4.49
4.91,1.76,5.7,4.42
4.97,1.84,5.57,4.52
4.36,2.38,5.24,5.53
4.37,2.52,5.06,4.86
4.37,2.61,4.97,4.86
