x,y,z
0.93,3.66,1.38
0.94,3.57,1.35
0.96,3.48,1.32
0.98,3.43,1.29
1.01,3.35,1.28
1.02,3.28,1.3
0.99,3.28,1.31
1,3.25,1.32
0.98,3.22,1.33
0.99,3.17,1.34
0.97,3.09,1.33
0.96,3.04,1.31
0.97,2.97,1.32
0.94,2.94,1.4
0.93,2.89,1.46
0.92,2.85,1.56
0.93,2.81,1.61
0.93,2.81,1.58
0.92,2.77,1.57
0.94,2.72,1.54
0.96,2.67,1.45
0.98,2.61,1.4
1,2.58,1.44
0.98,2.51,1.44
0.99,2.47,1.43
1.01,2.44,1.42
1,2.36,1.33
0.97,2.34,1.37
0.94,2.26,1.35
0.94,2.23,1.45
0.94,2.19,1.4
0.95,2.16,1.38
0.97,2.09,1.45
0.99,2.05,1.56
1.01,1.99,1.5
1.05,1.97,1.52
1.07,1.91,1.51
1.06,1.75,1.32
1.03,1.71,1.29
0.99,1.7,1.32
0.98,1.65,1.26
0.96,1.63,1.3
0.93,1.64,1.3
0.88,1.66,1.3
0.88,1.61,1.28
0.88,1.61,1.29
0.84,1.63,1.34
0.86,1.61,1.37
0.89,1.61,1.48
0.88,1.62,1.45
0.96,1.6,1.48
1.02,1.57,1.5
1.06,1.56,1.43
1.06,1.55,1.46
1.1,1.53,1.42
1.19,1.53,1.46
1.27,1.55,1.52
1.38,1.55,1.49
1.44,1.58,1.49
1.49,1.62,1.47
1.53,1.65,1.5
1.57,1.66,1.46
1.64,1.69,1.4
1.69,1.71,1.35
1.69,1.66,1.37
1.74,1.64,1.48
1.81,1.64,1.46
1.88,1.64,1.43
1.95,1.65,1.4
2.01,1.65,1.42
2.07,1.63,1.39
2.12,1.63,1.35
2.17,1.64,1.4
2.21,1.64,1.41
2.25,1.63,1.44
2.28,1.62,1.48
2.34,1.61,1.49
2.34,1.58,1.42
2.38,1.6,1.52
2.47,1.63,1.52
2.51,1.62,1.47
2.57,1.54,1.36
2.66,1.59,1.4
2.7,1.59,1.37
2.77,1.63,1.39
2.83,1.64,1.38
2.76,1.58,1.53
2.86,1.6,1.48
2.75,1.52,1.6
2.83,1.58,1.65
3.1,1.71,1.66
3.04,1.69,1.61
3.07,1.68,1.58
3.17,1.72,1.55
3.41,1.84,1.53
3.32,1.78,1.48
3.33,1.78,1.5
3.26,1.73,1.47
3.24,1.7,1.42
3.26,1.69,1.5
3.28,1.72,1.56
3.22,1.69,1.5
3.27,1.73,1.49
3.24,1.76,1.42
3.16,1.82,1.31
3.13,1.87,1.32
3.16,1.9,1.44
3.11,1.98,1.5
3.03,2.03,1.44
2.99,2.1,1.51
2.94,2.17,1.55
2.87,2.24,1.54
2.8,2.33,1.49
2.7,2.44,1.49
2.87,2.52,1.44
3,2.54,1.33
3.01,2.56,1.38
3.26,2.74,1.4
3.37,2.79,1.37
3.25,2.77,1.36
3.15,2.77,1.42
3.08,2.77,1.38
3.09,2.75,1.33
3.05,2.78,1.31
2.77,2.99,1.3
2.79,3.02,1.3
2.79,3.05,1.28
2.87,3.02,1.26
2.92,3.07,1.26
2.94,3.06,1.28
2.95,3.16,1.18
2.98,3.23,1.08
2.99,3.21,1.12
2.95,3.23,1.18
2.99,3.24,1.28
3.05,3.25,1.29
3.17,3.22,1.28
3.07,3.33,1.25
3.02,3.41,1.26
2.99,3.49,1.26
2.96,3.55,1.24
3.04,3.55,1.23
3,3.62,1.27
3.05,3.68,1.41
3.1,3.69,1.4
3.17,3.71,1.36
3.21,3.71,1.47
2.7,4.1,1.45
2.81,4.08,1.43
2.89,4.06,1.52
2.98,4.01,1.62
3.02,4.02,1.61
3.06,4.02,1.61
3.2,4.01,1.53
3.3,4.05,1.53
3.31,4.07,1.56
3.31,4.14,1.5
3.32,4.18,1.46
3.36,4.19,1.42
3.38,4.22,1.53
3.37,4.27,1.55
3.36,4.32,1.56
3.36,4.35,1.62
3.36,4.38,1.56
3.33,4.42,1.54
3.29,4.46,1.53
3.26,4.49,1.53
3.21,4.52,1.64
3.19,4.55,1.55
3.19,4.58,1.53
3.26,4.57,1.47
3.31,4.58,1.44
3.41,4.57,1.43
3.38,4.61,1.51
3.38,4.62,1.61
3.33,4.67,1.54
3.28,4.71,1.51
3.22,4.76,1.48
3.15,4.8,1.43
3.07,4.84,1.53
2.99,4.85,1.57
2.93,4.85,1.58
2.88,4.88,1.5
2.82,4.88,1.43
2.74,4.84,1.42
2.73,4.85,1.37
2.66,4.83,1.41
2.57,4.82,1.59
2.48,4.81,1.54
2.44,4.78,1.47
2.38,4.78,1.55
2.32,4.77,1.61
2.27,4.75,1.54
2.22,4.74,1.63
2.17,4.75,1.58
2.07,4.75,1.58
2.02,4.74,1.51
1.98,4.72,1.6
1.92,4.7,1.69
1.9,4.7,1.58
1.73,4.61,1.5
1.73,4.63,1.47
1.74,4.64,1.41
1.52,4.52,1.37
1.6,4.59,1.44
1.59,4.64,1.4
1.45,4.59,1.52
1.42,4.63,1.51
1.39,4.66,1.53
1.35,4.69,1.61
1.32,4.7,1.66
1.3,4.73,1.72
1.22,4.73,1.62
1.13,4.71,1.68
1.08,4.71,1.6
1.05,4.69,1.57
1.03,4.69,1.54
1,4.69,1.59
0.99,4.7,1.56
0.98,4.71,1.66
0.98,4.73,1.71
0.89,4.68,1.74
0.85,4.67,1.73
0.81,4.64,1.73
0.78,4.61,1.66
0.73,4.58,1.63
0.77,4.61,1.58
0.82,4.6,1.59
0.82,4.58,1.59
0.82,4.57,1.52
0.84,4.56,1.52
0.84,4.56,1.46
0.86,4.53,1.43
0.89,4.5,1.41
0.93,4.44,1.56
0.96,4.39,1.49
0.98,4.35,1.51
0.99,4.31,1.45
1,4.28,1.45
1,4.22,1.46
0.98,4.18,1.43
0.98,4.15,1.44
0.97,4.1,1.49
0.96,4.05,1.46
0.93,3.99,1.44
0.9,3.96,1.43
0.93,3.88,1.46
0.9,3.83,1.42
0.88,3.8,1.39
0.93,3.73,1.47
0.99,3.65,1.49
1.03,3.58,1.43
0.98,3.57,1.46
0.97,3.53,1.45
1,3.44,1.51
1.03,3.36,1.46
1.06,3.31,1.39
1.06,3.28,1.4
1.06,3.25,1.49
1.08,3.22,1.58
1.07,3.19,1.55
0.89,3.06,1.46
0.93,3.06,1.48
0.93,3.01,1.45
0.92,2.91,1.3
0.92,2.92,1.44
0.92,2.89,1.42
0.91,2.87,1.42
0.93,2.85,1.5
0.94,2.83,1.56
0.98,2.8,1.63
1,2.77,1.6
1,2.73,1.54
1,2.67,1.61
0.97,2.62,1.67
1.06,2.56,1.66
0.93,2.57,1.56
0.94,2.51,1.5
0.93,2.48,1.52
0.76,2.52,1.53
0.78,2.45,1.54
0.77,2.4,1.51
0.8,2.33,1.51
0.8,2.29,1.53
0.71,2.27,1.57
0.71,2.24,1.53
0.7,2.12,1.57
0.74,2.02,1.51
0.77,2,1.47
0.8,1.97,1.46
0.81,1.95,1.44
0.79,1.94,1.44
0.79,1.92,1.43
0.78,1.88,1.39
0.82,1.84,1.44
0.84,1.79,1.41
0.86,1.76,1.46
0.81,1.76,1.55
0.75,1.76,1.52
0.8,1.71,1.57
0.82,1.68,1.52
0.82,1.66,1.49
0.78,1.67,1.48
0.75,1.67,1.43
0.72,1.68,1.41
0.81,1.66,1.51
0.88,1.62,1.6
0.97,1.6,1.58
1.08,1.57,1.63
1.17,1.56,1.63
1.22,1.54,1.56
1.26,1.54,1.53
1.34,1.55,1.51
1.37,1.54,1.46
1.4,1.52,1.4
1.52,1.54,1.46
1.6,1.57,1.51
1.66,1.6,1.53
1.67,1.57,1.46
1.73,1.56,1.45
1.81,1.57,1.42
1.88,1.58,1.4
1.94,1.59,1.4
1.97,1.6,1.36
2,1.59,1.39
2.05,1.6,1.39
2.1,1.63,1.38
2.16,1.65,1.43
2.17,1.63,1.39
2.24,1.67,1.35
2.29,1.7,1.44
2.32,1.72,1.5
2.36,1.72,1.48
2.34,1.69,1.53
2.33,1.66,1.56
2.38,1.64,1.53
2.45,1.65,1.53
2.51,1.66,1.51
2.58,1.65,1.51
2.65,1.64,1.49
2.71,1.65,1.57
2.74,1.64,1.61
2.78,1.64,1.53
2.77,1.59,1.56
2.81,1.61,1.57
2.87,1.63,1.5
2.92,1.65,1.45
2.95,1.68,1.45
2.99,1.69,1.49
3.03,1.71,1.56
3.32,1.81,1.57
3.25,1.77,1.52
3.19,1.73,1.5
3.14,1.69,1.49
3.16,1.68,1.47
3.2,1.72,1.44
3.2,1.76,1.48
3.16,1.76,1.45
3.14,1.78,1.49
3.14,1.81,1.45
3.12,1.86,1.41
3.13,1.87,1.42
3.14,1.9,1.38
3.11,1.97,1.36
3.05,2.06,1.43
3.01,2.15,1.45
2.94,2.24,1.42
3,2.26,1.46
3.05,2.29,1.41
3.02,2.32,1.32
3.04,2.38,1.31
3.01,2.48,1.34
2.97,2.48,1.26
2.98,2.54,1.33
2.94,2.57,1.34
2.92,2.63,1.34
2.9,2.69,1.35
2.98,2.7,1.32
3.02,2.73,1.28
3.06,2.76,1.27
3.02,2.82,1.33
2.9,2.92,1.35
2.81,3.01,1.38
2.8,3.07,1.39
2.93,3.03,1.43
3.1,2.98,1.41
3.16,2.99,1.39
3.1,3.06,1.35
3.09,3.11,1.45
2.98,3.23,1.38
2.85,3.35,1.23
2.91,3.38,1.25
2.93,3.45,1.38
2.93,3.52,1.46
2.96,3.57,1.45
2.98,3.6,1.42
2.98,3.65,1.43
3.01,3.7,1.43
3.04,3.75,1.42
3.06,3.8,1.4
3.06,3.84,1.46
3.1,3.92,1.41
3.13,3.98,1.43
3.14,4.02,1.52
3.13,4.05,1.53
3.19,4.13,1.46
3.31,4.1,1.48
3.26,4.15,1.51
3.28,4.18,1.45
3.27,4.2,1.5
3.27,4.23,1.47
3.22,4.29,1.58
3.2,4.39,1.51
3.17,4.51,1.43
3.14,4.56,1.46
3.14,4.6,1.51
3.16,4.64,1.5
3.13,4.7,1.51
3.22,4.73,1.47
3.21,4.78,1.49
3.17,4.83,1.59
3.17,4.84,1.55
